name,type,tip_size_mm,color,notes
Sakura Micron 005,fine liner,0.05,black,ultra fine detail work
Sakura Micron 01,fine liner,0.1,black,fine detail and hatching
Sakura Micron 02,fine liner,0.2,black,medium-fine lines
Sakura Micron 03,fine liner,0.3,black,medium lines
Sakura Micron 05,fine liner,0.5,black,bold lines and outlines
Posca PC-1MR,paint marker,0.7,white,needs spring for pressure - pump before use
Posca PC-1MR,paint marker,0.7,black,needs spring for pressure - pump before use
Posca PC-1MR,paint marker,0.7,gold,needs spring for pressure - pump before use
Faber-Castell PITT,brush pen,varies,black,flexible brush tip - organic lines
Faber-Castell PITT,brush pen,varies,sepia,flexible brush tip - warm tones
